sourceImage,cardNumber,name,cost,type,rarity,color,rulesText,rawTitleOCR,rawTypeOCR
EDL 1.png,EDL-001,Draconic Crush,1,Spell,Special,Red,"Destroy target follower, artifact, or enchantment.",———  DREAXCOMKE Grush o” a ah | -,ay Spell = = Ea)
EDL 10.png,EDL-010,Fervorous Dragon Lord,0,Chaos Keeper,Special,Red,Has +3 jf during your turn,~» Dragan Lor),tesccie Rees eB
EDL 11.png,EDL-011,"Fervorous Dragon Lord, Enraged Fire",0,Chaos Keeper,Special,Red,"Has +6 during your turn At the start of your turn, if you have less than 3 cards in your hand, draw a card At the end of your turn, summon a @ 2/2 Fervorous Dragon Whelp follower token",Ow ee jenraged Fire | PT anc Ss,EePS tsa cipes (EBD
EDL 12.png,EDL-012,"Fervorous Dragon Lord, Ultimate Fury",0,Chaos Keeper,Special,Red,"Has +9 }¢ during your turn. At the start of your turn, if you have less than 3 cards in your hand, draw a card. At the end of your turn, summon two @ 2/28 Fervorous Dragon Whelp follower tokens. Followers you control have +3 %f. =>0",Dragon,> —— ee }¢ during
EDL 13.png,EDL-013,Fervorous Dragon Sentry,6,Follower,Special,Red,"Guardian At the end of your turn, ready this rs d",Saaiy) ASATOLOUS,Follower— Dragon: aaa
EDL 14.png,EDL-014,Fervorous Dragon Whelp,3,Follower,Special,Red,,Bg eso,
EDL 15.png,EDL-015,Tail Swipe,4,Spell,Special,Red,"Deal X damage to all opposing characters, where X equals twice the current boss phase",~» TaillSwipe) aN,Spell vy
EDL 16.png,EDL-016,Aegis Dragon Lord,0,Chaos Keeper,Special,Blue,Has +2 3 during your turn,Fords,Kahrs traeperr pine ~~ <i a
EDL 17.png,EDL-017,"Aegis Dragon Lord, Awakened",0,Chaos Keeper,Special,Blue,"Has +434 during your turn. At the start of your turn, if you have less than 3 cards in your hand, draw a card. At the start of your turn, explore for a spell or enchantment. Your followers have Guardian. =*0",3Dragontbard Awakened |,Kaneda Croapar Pakee = hl \ during
EDL 18.png,EDL-018,"Aegis Dragon Lord, Overwhelming",0,Chaos Keeper,Special,Blue,"Has +6 during your turn. At the start of your turn, if you have less than 3 cards in your hand, draw a card. At the start of your turn, explore for a spell or enchantment. Your followers have Guardian. Whenever you draw a card, deal 1 damage to all opposing heroes. =°0",Dmg tor core,"= 27 Sy Chaos Phase}, — Keeper -"
EDL 19.png,EDL-019,Empowered Fountain Elemental,3,Follower,Special,Blue,"Guardian This has +X §/+X@, where X is your @. oY",» Fountain Elemental wie G,Follower Elemental =
EDL 1B.png,EDL-001B,Fervorous Dragon Whelp,3,Follower,Special,Red,,Bg eso,anes Tokenjec = —
EDL 2.png,EDL-002,Draconic Boast,2,Spell,Special,Red,Draw a card for each opposing hero,— pane Draconis Boast —,—_— Spell) a8 — —_
EDL 20.png,EDL-020,Empowered Guard Patrol,5,Follower,Special,Blue,Deploy — Summon two @ 3X /6@ Dragon Guardian Soldier follower tokens with Guardian,"EmpowerediGuard| Patrol,",Elliciren Cie SAD ft —
EDL 21.png,EDL-021,Empowered Upgradable Servant,4,Artifact Follower,Special,Blue,"At the end of your turn, put two strength counters on this a",Baporred Uraeio em io a),res ArtifactjFollower— Construct ee
EDL 22.png,EDL-022,Draconic Shift,5,Enchantment,Special,Blue,Your followers have +3 }{/+3,Draconte SHR,aetna a= Unique
EDL 23.png,EDL-023,Draconic Guardians,5,Spell,Special,Blue,Summon three @ 3}{/6@ Dragon Guardian Soldier follower tokens with Guardian,Dra conickGuardians_ $ be,Spell
EDL 24.png,EDL-024,Empowered Darkflame Blast,4,Spell,Special,Colorless,Deal 6 damage to target character Draw a card,relies hapewered] De IB a,"~ aN >, ee Spell) oe ore."
EDL 25.png,EDL-025,Draconic Keep,5,Artifact,Special,Blue,"At the end of your turn, summon a @ 3 36/6 Dragon Guardian Soldier follower token with Guardian",Draconis Kecp 2°,od Artifact —jltem
EDL 26.png,EDL-026,Draconic Might,4,Spell,Special,Colorless,Deal damage to each opposing follower equal to the amount of cards in your hand,Brasonis Might _-,Bes: Spell
EDL 27.png,EDL-027,Treasure Hoard,4,Artifact,Special,Black,"Whenever a character attacks, its controller draws a card",TreasurelHoard ew.,Unique Artifactt—
EDL 28.png,EDL-028,Draconic Arbiter,5,Follower,Special,Blue,Tactician Opposing cards cost 1@) more to play. my,Draconiie Ariicr,— etre Dragon TRS
EDL 2B.png,EDL-002B,Dragon Guardian Soldier,0,Token Follower,Special,Blue,Guardian,"GuardiantSoldier, a Ni",Dracantsoldier Token|Follower | 2 =
EDL 3.png,EDL-003,Empowered Fire Ball,3,Spell,Special,Red,Deal 3 damage to all opposing characters.,"Empowered] ize Ball v/,",‘Spell 4)
EDL 4.png,EDL-004,Empowered Flame Burst,4,Spell,Special,Red,Deal 5 damage to all opposing characters.,-- —— Empo Flame)Burst,Spell TR . =
EDL 5.png,EDL-005,Draconic Obliteration,7,Spell,Special,Red,Destroy all opposing followers.,Draconis Obliteration =) SA,ai
EDL 6.png,EDL-006,Draconic Reinforcements,6,Spell,Special,Red,Summon 6 @ 2} /2.@ Fervorous Dragon Whelp follower tokens,a Drac OnicaReinforcements <>,) Spell — = —
EDL 7.png,EDL-007,Draconic Roar,3,Spell,Special,Red,Your hero gains +5 3 until end of turn,"DraconicaRoar,",
EDL 8.png,EDL-008,Draconic Strength,6,Enchantment,Special,Red,Dragon followers you control have +2 N/+2Q Your hero has ranged,Draconis Strangin,a: Se
EDL 9.png,EDL-009,Draconic Threat,6,Spell,Special,Blue,Draw cards until you reach your maximum hand size,» Draconis Thircat Y,id
STD 1.png,STD-001,Anthe Kingwarden,0,Hero,Hero,Black,,Anthe R Ingiwar den Py 7,Lt At f © “
STD 10.png,STD-010,"Timoteo ""Tim"" Shattershot",0,Hero,Hero,Colorless,,Timoteo es Renate sy (ie,amd
STD 1B-1.png,STD-001B-1,Crab,0,Token Follower,Token,Green,,A\,Crab Token Se F Follower
STD 1B.png,STD-001B,Crab,0,Token Follower,Token,Green,,\y,_~——“ perma = anit
STD 2.png,STD-002,Aurelia,0,Hero,Hero,Black,,"IN Alur, ILL élia il i Wl",—S RS
STD 2B-1.png,STD-002B-1,Beast,0,Token Follower,Token,Black,Token) Follower —«Beast,Beast,os
STD 2B-2.png,STD-002B-2,Beast,0,Token Follower,Token,Green,,—L~ Py,4  — i Pe er Beast Follow. oken) =
STD 2B.png,STD-002B,Beast,0,Token Follower,Token,Green,,eres,
STD 3.png,STD-003,Aurelius,0,Hero,Hero,Colorless,,iy US: eee ih,a4 S YS
STD 3B-1.png,STD-003B-1,Undead,0,Token Follower,Token,Black,,ely ‘Warlecd] ‘w —~,Follower— Undead Token Ss
STD 3B.png,STD-003B,Undead,0,Token Follower,Token,Black,,Undea <a,Token/Follower—Undead
STD 4.png,STD-004,"Cawn, Flourishing Adventurer",0,Hero,Hero,Colorless,,"Cawn, Ie sh Ring yenturer SE J f/",q
STD 4B.png,STD-004B,Construct,0,Artifact Follower,Token,Blue,,B,= ArtifactiFollower— |
STD 5.png,STD-005,"Dina, Protector of the Azure Sea",0,Hero,Hero,Black,,ee Me,ry (Nee <
STD 5B.png,STD-005B,Soldier,0,Token Follower,Token,Blue,Guardian,— —,
STD 6.png,STD-006,Growth,0,Spell,Token,Black,Gain 1 until end of turn.,Growth,"""spell at"
STD 7.png,STD-007,Nahuri Rivers,0,Hero,Hero,Black,,Nahui Rivers“ -,
STD 8.png,STD-008,Sul Quillenof,0,Hero,Hero,Colorless,,Sul Quillcroft! gM,aeese
STD 9.png,STD-009,Tarin Spellburst,0,Hero,Hero,Colorless,,Tarin’Spel bursts,Lg *
